bag	section	Top_depth	Bottom_depth	Center_depth	number_grains	e1	e1_weighted	e2	e2_weighted	e3	e3_weighted
253	1	138.6	138.69	138.65	1074	0.229704	0.193219	0.311799	0.296144	0.458496	0.510637
253	2	138.69	138.78	138.74	1019	0.22108	0.207614	0.319328	0.26149	0.459592	0.530896
253	3	138.78	138.88	138.83	1058	0.228605	0.219243	0.298486	0.258541	0.472908	0.522215
253	4	138.88	138.97	138.92	999	0.234234	0.219734	0.327662	0.284835	0.438104	0.495431
253	5	138.97	139.06	139.01	1130	0.236527	0.205427	0.285478	0.242706	0.477995	0.551868
266	1	145.75	145.84	145.8	1095	0.195126	0.167929	0.348699	0.302561	0.456174	0.52951
266	2	145.84	145.93	145.89	1352	0.17583	0.164497	0.334559	0.301904	0.489611	0.5336
266	3	145.93	146.03	145.98	1407	0.163434	0.146819	0.339905	0.318433	0.496661	0.534748
266	4	146.03	146.12	146.07	1394	0.197618	0.177455	0.302386	0.313532	0.499996	0.509013
266	5	146.12	146.21	146.16	1230	0.191453	0.166042	0.38427	0.352754	0.424277	0.481204
266	6	146.21	146.3	146.25	1273	0.19732	0.192462	0.32782	0.2966	0.474859	0.510939
293	1	160.6	160.69	160.65	879	0.20506	0.194008	0.364559	0.333332	0.430381	0.47266
293	2	160.69	160.78	160.74	1111	0.187796	0.179546	0.335885	0.304618	0.476319	0.515836
293	3	160.78	160.88	160.83	979	0.19703	0.190106	0.375301	0.310823	0.427669	0.499071
293	4	160.88	160.97	160.92	1216	0.190683	0.169022	0.319934	0.302235	0.489383	0.528742
293	5	160.97	161.06	161.01	840	0.190337	0.187966	0.331196	0.292028	0.478467	0.520006
293	6	161.06	161.15	161.1	661	0.223726	0.209877	0.373161	0.313469	0.403112	0.476654
294	1	161.15	161.24	161.2	1343	0.194218	0.179352	0.354188	0.326623	0.451593	0.494025
294	2	161.24	161.33	161.29	904	0.205038	0.178636	0.333991	0.31175	0.460971	0.509614
294	3	161.33	161.43	161.38	976	0.188355	0.186589	0.357378	0.31961	0.454267	0.493801
294	4	161.43	161.52	161.47	1203	0.186469	0.190561	0.340887	0.314954	0.472644	0.494485
294	5	161.52	161.61	161.56	892	0.228503	0.202257	0.330311	0.309906	0.441186	0.487838
294	6	161.61	161.7	161.65	999	0.19196	0.176417	0.356775	0.323267	0.451265	0.500315
296	1	162.25	162.34	162.3	1006	0.162812	0.165704	0.360725	0.324296	0.476463	0.510001
296	2	162.34	162.43	162.39	1117	0.19694	0.181547	0.336658	0.343012	0.466402	0.475441
296	3	162.43	162.53	162.48	1072	0.197354	0.182114	0.324717	0.329175	0.477929	0.488711
296	4	162.53	162.62	162.57	940	0.1646	0.156602	0.36987	0.346673	0.465531	0.496724
296	5	162.62	162.71	162.66	924	0.226446	0.185735	0.32327	0.320458	0.450284	0.493807
